include;title;institution;loc;start;end;description_1;description_2;description_3;description_4;description_5
VERDADEIRO;Analista de Dados;Agência Pública de Jornalismo Investigativo;São Paulo, SP;2022;Present;Crio soluções em automação para a rotina com dados e auxilio em reportagens que possuem demandas em bases de dados;. Participei do projeto Mapa dos Conflitos, parceria da Agência Pública com a Comissão Pastoral da Terra (CPT);NA;NA;NA
VERDADEIRO;Prêmio ANA;aa;NA;2023;2023;A reportagem “Os privilegiados com a água do cerrado baiano” foi finalista da 18ª edição do Prêmio ANA na categoria Comunicação – Mídia Impressa ou Sonora.;NA;NA;NA;NA
VERDADEIRO;Bacharelado em Jornalismo;Universidade de São Paulo;São Paulo, SP;2018;2023;Fui repórter e editora de diferentes jornais-laboratório: o Notícias do Jardim São Remo, a Agência Universitária de Notícias, o Jornal do Campus e o suplemento claro!.;Membro da Jornalismo Júnior, empresa júnior de Jornalismo da ECA-USP (2018 - 2019);"Fui monitora dos cursos de verão do Instituto de Matemática e Estatística (IME) da USP ""Python para análise de dados"" (2022) e ""R para análise de dados"" (2023)";NA;NA
VERDADEIRO;39º Prêmio Direitos Humanos de Jornalismo (Menção honrosa);OAB-RS;NA;2022;2022;NA;NA;NA;NA;NA
VERDADEIRO;Design for a Better World Award 2022;x;NA;2022;2022;O Mapa Dos Conflitos foi um dos vencedores da categoria Design Gráfico, Design Digital, UX e UI;NA;NA;NA;NA
VERDADEIRO;The Sigma Awards 2022 - Shortlist;y;NA;2022;2022;A reportagem “Brasil registra duas vezes mais pessoas brancas vacinadas que negras” foi finalista do The Sigma Awards de 2022.;NA;NA;NA;NA
VERDADEIRO;Prêmio Cláudio Weber Abramo de Jornalismo de Dados - Shortlist (2022);z;NA;2022;2022;NA;NA;NA;NA;NA
VERDADEIRO;Master em Jornalismo de Dados, Automação e Data Storytelling;Insper;São Paulo, SP;2021;2022;Lato-sensu specialization with double certification.;NA;NA;NA;NA
VERDADEIRO;Estagiária de Jornalismo de Dados;Agência Pública de Jornalismo Investigativo;São Paulo, SP;2020;2022;Como estagiária, participei de coberturas reconhecidas pelo Prêmio Roche de Jornalismo em Saúde e reportagens finalistas do Sigma Awards e prêmio Cláudio Weber Abramo de Jornalismo de Dados.;NA;NA;NA;NA
VERDADEIRO;Mestrado em Ciências;Universidade Federal de São Paulo;São Paulo, SP;2018;2022;"Mestrado em Ciências pelo Programa de Pós-Graduação em Farmacologia (Conceito CAPES 6), com projeto intitulado ""Manipulações farmacológicas e não-farmacológicas para o reestabelecimento de um ""tônus hedônico"" em um modelo animal de esquizofrenia: a linhagem SHR""";Bolsista da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES (2018 - 2019);NA;NA;NA
VERDADEIRO;39º Prêmio Direitos Humanos de Jornalismo;OAB-RS;NA;2021;2021;O Mapa dos Conflitos ficou em 2º lugar na categoria Online;NA;NA;NA;NA
VERDADEIRO;The Sigma Awards 2021 - Shortlist;y;NA;2021;2021;NA;NA;NA;NA;NA
VERDADEIRO;Prêmio Cláudio Weber Abramo de Jornalismo de Dados - Shortlist (2021);z;NA;2021;2021;NA;NA;NA;NA;NA
VERDADEIRO;Prêmio Roche de Jornalismo em Saúde (Menção honrosa);Roche;NA;2019;2019;NA;NA;NA;NA;NA
VERDADEIRO;Diretora vice-presidente;Jornalismo Júnior;São Paulo, SP;2019;2019;Desempenhei atividades como planejamento financeiro, atualização do fluxo de caixa, orçamentos, redação de contratos e regulamentação jurídica, além de gerenciar projetos internos e externos com a presidente;NA;NA;NA;NA
VERDADEIRO;Repórter;Jornalismo Júnior;São Paulo, SP;2018;2018;NA;NA;NA;NA;NA
VERDADEIRO;Bacharelado em Biomedicina;Universidade Federal de São Paulo;São Paulo, SP;2014;2017;"Participei da equipe executora do projeto de extensão universitária ""Patógenos em Jogo"" (2016)";Organizei o XV Curso de Inverno da Biomedicina - Unifesp (2017);NA;NA;NA